Scenario,Prediction,Confidence,Ground Truth,Status,BP,BP_col,BP_selected_prob,PCWP,PCWP_col,PCWP_selected_prob,HYPOVOLEMIA,HYPOVOLEMIA_col,HYPOVOLEMIA_selected_prob,STROKEVOLUME,STROKEVOLUME_col,STROKEVOLUME_selected_prob,CO,CO_col,CO_selected_prob,LVEDVOLUME,LVEDVOLUME_col,LVEDVOLUME_selected_prob,CVP,CVP_col,CVP_selected_prob
113,No_Hypovolemia,0.9939516412780538,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
114,No_Hypovolemia,0.9515693520304077,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
115,No_Hypovolemia,0.9576148455031599,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
116,No_Hypovolemia,0.9940830379375232,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
117,No_Hypovolemia,0.6394379631130485,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
118,No_Hypovolemia,0.9476699021605846,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
119,No_Hypovolemia,0.9888262846464273,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
120,No_Hypovolemia,0.982113797388224,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
121,No_Hypovolemia,0.9940810953306887,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
122,No_Hypovolemia,0.9827693156364181,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
123,Hypovolemia,0.5334311694784393,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
124,No_Hypovolemia,0.983871913513463,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
125,No_Hypovolemia,0.9859894641882385,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
126,Hypovolemia,0.6868605254231165,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
127,No_Hypovolemia,0.9789040043720281,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
128,No_Hypovolemia,0.6395521426147794,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
129,No_Hypovolemia,0.9940935481222426,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
130,Hypovolemia,0.5771104420391497,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
131,Hypovolemia,0.694019340188976,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
132,No_Hypovolemia,0.9777192581982894,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
133,No_Hypovolemia,0.9862980900420392,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
134,No_Hypovolemia,0.9940899418844217,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
135,No_Hypovolemia,0.9900983574182975,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
136,No_Hypovolemia,0.9893510811279911,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
137,No_Hypovolemia,0.9926161824441458,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
138,No_Hypovolemia,0.9933323133546503,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
139,Hypovolemia,0.5646856483627073,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
140,No_Hypovolemia,0.9942876662212532,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
141,No_Hypovolemia,0.6228055692392476,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
142,Hypovolemia,0.6941008519786922,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
143,No_Hypovolemia,0.951442364219639,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
144,Hypovolemia,0.6411377591659797,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
145,Hypovolemia,0.6651042634545836,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
146,No_Hypovolemia,0.98863824003336,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
147,No_Hypovolemia,0.9940860983477429,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
148,Hypovolemia,0.5646960621070333,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
149,No_Hypovolemia,0.8826375608805245,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
150,No_Hypovolemia,0.9933169155395417,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
151,No_Hypovolemia,0.9851137602636988,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
152,No_Hypovolemia,0.9608353650736504,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
153,Hypovolemia,0.5849624348613722,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
154,No_Hypovolemia,0.9933394354586694,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
155,No_Hypovolemia,0.8752200087805605,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
156,Hypovolemia,0.5271493433407021,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
157,No_Hypovolemia,0.9875589753821075,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
158,No_Hypovolemia,0.9774467327540352,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
159,No_Hypovolemia,0.9481192587297927,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
160,No_Hypovolemia,0.9711348516314351,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
161,No_Hypovolemia,0.9938763716785322,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
162,No_Hypovolemia,0.9423495124651833,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
163,Hypovolemia,0.587060825089422,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
164,No_Hypovolemia,0.9839206317402336,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
165,No_Hypovolemia,0.9896894077504075,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
166,Hypovolemia,0.6927665471863116,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
167,Hypovolemia,0.5790454758447201,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
168,No_Hypovolemia,0.98929556936903,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
169,No_Hypovolemia,0.9940543240081806,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
170,No_Hypovolemia,0.5294644851765606,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
171,Hypovolemia,0.5842194484260809,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
172,No_Hypovolemia,0.524158733830387,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
173,Hypovolemia,0.6090563150500903,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
174,No_Hypovolemia,0.5002102252929577,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
175,No_Hypovolemia,0.9933214978740396,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
176,No_Hypovolemia,0.8153197253523247,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
177,No_Hypovolemia,0.9780702393009827,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
178,No_Hypovolemia,0.5241487639849899,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
179,No_Hypovolemia,0.9896782539547294,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
180,No_Hypovolemia,0.9785704623031491,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
181,No_Hypovolemia,0.9439519235082837,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
182,Hypovolemia,0.6938340446177035,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
183,No_Hypovolemia,0.9837517106287107,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
184,Hypovolemia,0.6077342918508108,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
185,No_Hypovolemia,0.945785549924727,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
186,No_Hypovolemia,0.9826244984808683,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
187,No_Hypovolemia,0.9940326585475717,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
188,No_Hypovolemia,0.9831022693845306,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
189,No_Hypovolemia,0.8274247031700764,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
190,Hypovolemia,0.5656050541509305,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
191,No_Hypovolemia,0.9940932163647619,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
192,No_Hypovolemia,0.50670766235354,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
193,No_Hypovolemia,0.9866446172900809,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
194,No_Hypovolemia,0.9736079463128774,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
195,No_Hypovolemia,0.9935513408019863,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
196,Hypovolemia,0.6419627144511529,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
197,No_Hypovolemia,0.9927656716176549,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
198,No_Hypovolemia,0.9934539390358188,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
199,Hypovolemia,0.6353504091039792,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
200,No_Hypovolemia,0.5305386319060258,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
201,No_Hypovolemia,0.9932184621330679,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
202,No_Hypovolemia,0.9862412546290948,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
203,Hypovolemia,0.6938306893091548,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
204,No_Hypovolemia,0.9826301158787343,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
205,No_Hypovolemia,0.6455756871266294,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
206,No_Hypovolemia,0.9902677901786157,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
207,Hypovolemia,0.5285791743714854,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
208,No_Hypovolemia,0.9870893888418861,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
209,Hypovolemia,0.515125317817772,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
210,No_Hypovolemia,0.5237575368756832,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
211,No_Hypovolemia,0.9850168169189671,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
212,No_Hypovolemia,0.9866198314374903,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
213,No_Hypovolemia,0.9935603713119611,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
214,Hypovolemia,0.6947937158907951,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
215,No_Hypovolemia,0.9841692391429543,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
216,No_Hypovolemia,0.9713665988724713,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
217,No_Hypovolemia,0.9940642351823137,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
218,Hypovolemia,0.552512107966204,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
219,No_Hypovolemia,0.9933399924235502,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
220,Hypovolemia,0.5150126678993597,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
221,No_Hypovolemia,0.9829524650451205,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
222,Hypovolemia,0.5904149716999286,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
223,No_Hypovolemia,0.9932599301290316,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
224,No_Hypovolemia,0.9779641147897256,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
225,No_Hypovolemia,0.9832569713421607,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
226,No_Hypovolemia,0.9905294031840081,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
227,No_Hypovolemia,0.9825162689640888,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
